Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
LT,12-Sep-2025,30-Sep-2025,PE,3800.00,227.75,229.90,202.65,212.20,212.20,212.20,50.00,351.22,18.72,61600.00,700.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3600.00,68.20,68.50,44.10,49.10,47.75,49.10,4115.00,26286.27,361.77,612675.00,42000.00,3579.80
LT,11-Sep-2025,30-Sep-2025,PE,3500.00,23.00,31.10,21.10,27.35,26.00,27.35,2452.00,15133.97,115.47,510475.00,26775.00,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3450.00,12.55,17.75,11.95,14.85,14.55,14.85,1134.00,6876.32,29.80,183400.00,-5075.00,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3550.00,38.20,52.50,37.50,46.75,45.85,46.75,1660.00,10446.06,133.31,276850.00,1925.00,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,4000.00,448.00,454.00,442.15,445.00,445.00,445.00,10.00,77.87,7.87,71750.00,350.00,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3700.00,144.00,162.15,136.00,154.20,154.40,154.20,335.00,2258.23,89.11,216125.00,-700.00,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,4100.00,-,-,-,476.20,-,549.15,-,-,-,-,-,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3950.00,-,-,-,354.65,-,403.80,-,-,-,-,-,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3100.00,1.45,1.45,1.45,1.45,1.45,1.60,1.00,5.43,0.01,13300.00,-,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3750.00,204.60,207.70,197.40,199.95,200.65,199.95,38.00,262.79,13.42,17850.00,-2625.00,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3200.00,1.50,1.50,0.60,0.75,0.70,0.75,7.00,39.21,0.01,72100.00,-,3539.70
LT,11-Sep-2025,30-Sep-2025,PE,3400.00,7.80,10.05,6.95,8.10,8.00,8.10,914.00,5451.84,13.54,186375.00,-2275.00,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3900.00,337.40,337.40,337.40,337.40,337.40,371.50,1.00,7.42,0.59,700.00,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3600.00,97.95,109.90,96.95,104.55,104.70,104.55,117.00,758.48,21.38,41125.00,15050.00,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,4000.00,-,-,-,410.75,-,455.75,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3800.00,-,-,-,278.75,-,293.65,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3950.00,-,-,-,406.35,-,412.90,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3000.00,-,-,-,18.95,-,6.65,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3550.00,-,-,-,148.25,-,137.50,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,4100.00,-,-,-,485.40,-,544.85,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3350.00,-,-,-,71.30,-,59.30,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3850.00,-,-,-,330.35,-,331.70,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3300.00,-,-,-,68.30,-,46.20,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3250.00,-,-,-,45.90,-,35.30,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3650.00,136.00,136.00,136.00,136.00,136.00,192.55,1.00,6.63,0.24,175.00,175.00,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3450.00,-,-,-,105.25,-,93.10,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3400.00,-,-,-,96.25,-,74.90,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3750.00,-,-,-,261.35,-,257.70,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3200.00,7.45,9.35,7.25,9.00,9.00,26.45,25.00,140.37,0.37,16800.00,2800.00,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3700.00,164.95,169.50,164.95,165.00,165.00,223.95,5.00,33.83,1.46,8400.00,700.00,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3500.00,-,-,-,131.15,-,113.95,-,-,-,-,-,3539.70
LT,11-Sep-2025,28-Oct-2025,PE,3100.00,-,-,-,30.45,-,13.90,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3900.00,-,-,-,385.10,-,387.80,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3700.00,-,-,-,254.85,-,250.50,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3300.00,-,-,-,80.80,-,71.40,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3800.00,-,-,-,316.75,-,315.60,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3200.00,-,-,-,55.45,-,46.85,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3600.00,-,-,-,200.05,-,193.10,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3100.00,-,-,-,36.40,-,29.15,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,4200.00,-,-,-,621.90,-,635.85,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3000.00,-,-,-,22.75,-,17.05,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,3400.00,-,-,-,112.95,-,103.50,-,-,-,-,-,3539.70
LT,11-Sep-2025,25-Nov-2025,PE,4000.00,-,-,-,459.45,-,465.75,-,-,-,-,-,3539.70
